,text_id,text,task_1,task_2,LASER_embeddings_commen,LASER_embeddings_lib
14,hasoc_de_15,"Da musste der Moderator wohl 2 mal hinschauen bei dem Ergebnis. Immerhin wird im MDR wohl nicht gefälscht, zumindest bei der Umfrage nicht.  https://t.co/YETOBADLN6 https://t.co/rZXfi3xVEv",NOT,NONE,"[ 0.00406125  0.01927479 -0.00136732 ...  0.03125262  0.01754503
  0.03650739]","[ 0.00406125  0.01927479 -0.00136732 ...  0.03125262  0.01754503
  0.03650739]"
15,hasoc_de_16,"EU-Kommissar Frans #Timmermans sagt, der Islam gehört seit 2000 (!) Jahren zu Europa. Interessant – Demnach war der Prophet Mohammed also ein Zeitgenosse von Jesus und Augustus? #Bildungsdesaster #Geschichtsklitterung   https://t.co/T05TnXa7WS",NOT,NONE,"[ 6.0330597e-03 -1.6675720e-05  7.8856610e-03 ...  5.7298012e-02
  1.5900005e-02  5.3814251e-02]","[ 6.0330597e-03 -1.6675720e-05  7.8856610e-03 ...  5.7298012e-02
  1.5900005e-02  5.3814251e-02]"
16,hasoc_de_17,"Wenn ein #Syrer den @Die_Gruenen erzählt, dass er sich wegen kriminellen Flüchtlingen in Deutschland unsicher fühlt, wird er von den #Gruenen als #AFD Propagandist und Rechter Hetzer verunglimpft. Ein SYRER! 😂😂😂 https://t.co/JRU8jPFH2e",NOT,NONE,[0.00869601 0.06428029 0.00687099 ... 0.03468317 0.01838307 0.03262389],[0.00869601 0.06428029 0.00687099 ... 0.03468317 0.01838307 0.03262389]
17,hasoc_de_18,"#Berlin: Ibrahima D. (24) von der Elfenbeinküste überfällt an einem Abend vier Frauen in Kreuzberg brutal, raubt ihnen Geld und Handys - vor #Gericht rechtfertigt er sich mit: “Andere machen viel Schlimmeres”  https://t.co/pIZUpr1taV",NOT,NONE,"[ 9.01089702e-03 -6.79120876e-06  1.85050927e-02 ...  7.21322000e-02
  1.14672845e-02  2.59594880e-02]","[ 9.01089702e-03 -6.79120876e-06  1.85050927e-02 ...  7.21322000e-02
  1.14672845e-02  2.59594880e-02]"
18,hasoc_de_19,IS-Terror-Verdächtiger Salafist in #Koeln festgenommen.  Der Deutsch-Tunesier Sabri Ben A. gilt als Größe im produzieren von Propagandavideos. Er soll mehrfach nach #Syrien gereist und ein Terrorcamp mit Gegenständen im Wert von 80.000€ ausgerüstet haben https://t.co/dzdNI4rroU,NOT,NONE,[0.00936016 0.02635253 0.00505547 ... 0.0706085  0.00531022 0.03778468],[0.00936016 0.02635253 0.00505547 ... 0.0706085  0.00531022 0.03778468]
19,hasoc_de_20,Einreise per Flugzeug: Regierung erklärt Flüchtlingszahlen zur Geheimsache / AfD prüft rechtliche Schritte https://t.co/r6ijPQ7u6y,NOT,NONE,"[ 2.2247426e-02 -6.3546904e-05  1.3745935e-03 ...  1.8413654e-02
  1.5729349e-02  3.5407923e-02]","[ 2.2247426e-02 -6.3546904e-05  1.3745935e-03 ...  1.8413654e-02
  1.5729349e-02  3.5407923e-02]"
20,hasoc_de_21,"Wegen Volksverhetzung kann nach derzeitiger Rechtslage nicht bestraft werden, wer seine Hetze gegen Deutsche richtet, um diese Ungleichbehandlung zu ändern, hat AfD Gesetzentwurf vorgelegt, aber Rechtsausschuss lehnt AfD-Antrag auf Anhörung von Experten ab  https://t.co/5uhuPCMyu3",NOT,NONE,[0.01094597 0.01389127 0.01953038 ... 0.01788285 0.0248397  0.03003334],[0.01094597 0.01389127 0.01953038 ... 0.01788285 0.0248397  0.03003334]
21,hasoc_de_22,"@aufklaerer2017 @ZDF @ZDFheute dass 350 Deutsche durch 'Flüchtling/Schutzsuchende' brutal ermordert wurden seit 2015 oder in einem Jahr, ist natürlich im Vergleich zum Zerreissen Koran nichts.. man, man diese Journalie ist nicht zum Aushalten.",NOT,NONE,[0.00167619 0.00629942 0.001474   ... 0.02854223 0.00346591 0.0288728 ],[0.00167619 0.00629942 0.001474   ... 0.02854223 0.00346591 0.0288728 ]
22,hasoc_de_23,"@ZDF @ZDFheute Jetzt stellt euch mal vor, ein deutscher hätte das 9 Jährige Mädchen vergewaltigt und wäre durch Syrische Flüchtlinge gestellt worden. Sondersendungen der Dankbarkeit von #maischberger bis #illner plus Staatsbürgerschaft und Bundesverdienstkreuz wäre die Folge.",NOT,NONE,"[ 0.02894058 -0.00015622  0.0008408  ...  0.03529691  0.00172439
  0.03635462]","[ 0.02894058 -0.00015622  0.0008408  ...  0.03529691  0.00172439
  0.03635462]"
23,hasoc_de_24,"Weil in #Bremen 50 Korane zerrissen wurden sendet das @ZDF 15 Minuten lang einen Bericht der Empörung. Das in #DessauRoßlau ein 9 Jähriges Mädchen von einem Flüchtling vergewaltigt und von Zeugen gestellt wurde, darüber schweigt das @ZDFheute https://t.co/cIhV0iZZzK",NOT,NONE,"[ 0.00297779  0.06291039 -0.00205305 ...  0.03311842  0.02383686
  0.04271818]","[ 0.00297779  0.06291039 -0.00205305 ...  0.03311842  0.02383686
  0.04271818]"
24,hasoc_de_25,@der_zmd Reden sie lieber einmal davon wieviel Kirchen und christliche Symbole hier in Europa vom ihren Glaubensideologen geschändet wurden. https://t.co/2uk4hSww2x,NOT,NONE,"[ 0.0068365  -0.00012964  0.00116822 ...  0.04755441  0.01364486
  0.03993791]","[ 0.0068365  -0.00012964  0.00116822 ...  0.04755441  0.01364486
  0.03993791]"
25,hasoc_de_26,Dem Bundestag ist es wichtiger gegen Rechts zu hetzen anstatt wichtige Anliegen zu bearbeiten. Machen die überhaupt noch etwas anderes ausser gegen die AfD kämpfen?     https://t.co/i9JBfuOOA8    https://t.co/i9JBfuOOA8,NOT,NONE,[0.01885435 0.00256401 0.00084544 ... 0.04028375 0.0250304  0.02636081],[0.01885435 0.00256401 0.00084544 ... 0.04028375 0.0250304  0.02636081]
26,hasoc_de_27,alle müssen etwas mehr tun❗    Sonst wird es viel Leid geben.     Mehr als 1945. Viel mehr❗    Und in jeder Hinsicht❗    https://t.co/dRlM3AiFtS    https://t.co/7ICQOswycy,NOT,NONE,"[ 3.4617156e-02 -5.8663336e-05  1.4101571e-04 ...  2.4088347e-02
  2.6166348e-02  5.2469783e-02]","[ 3.4617156e-02 -5.8663336e-05  1.4101571e-04 ...  2.4088347e-02
  2.6166348e-02  5.2469783e-02]"
27,hasoc_de_28,In Berlin werden künftig (auch) Studienabbrecher an öffentlichen Schulen Kinder unterrichten. Läuft in der Bildungsrepublik Deutschland.,NOT,NONE,"[ 0.00749699  0.01193398 -0.00286279 ...  0.01499456  0.02315293
  0.00073725]","[ 0.00749699  0.01193398 -0.00286279 ...  0.01499456  0.02315293
  0.00073725]"
28,hasoc_de_29,"Ich persönlich finde, dass die Toilette der geeignete Platz für dieses Buch ist. Besser ist es allerdings es nicht zu kaufen und einbrechen geht zu weit.   Ermittelt der Staatschutz eigentlich auch bei der Schändung christlicher Kirchen und Friedhöfe?  https://t.co/SeG9Y9y7CM",NOT,NONE,[0.01904397 0.01258017 0.00040918 ... 0.0430283  0.04382097 0.02722128],[0.01904397 0.01258017 0.00040918 ... 0.0430283  0.04382097 0.02722128]
29,hasoc_de_30,#AfD in #Brandenburg jetzt Nummer 1. Die Wahlen im Herbst werden das politische Gefüge in ganz 🇩🇪 erschüttern und vllt. auch die #GroKo sprengen. Ich freue mich drauf! https://t.co/70lk4y0NZO,NOT,NONE,"[ 6.33031549e-03 -1.18645585e-05  5.49606630e-04 ...  5.61108738e-02
  2.10731775e-02  4.30931710e-02]","[ 6.33031549e-03 -1.18645585e-05  5.49606630e-04 ...  5.61108738e-02
  2.10731775e-02  4.30931710e-02]"
30,hasoc_de_31,"+++ #Heimatschatzkiste: Ein Schritt in die richtige Richtung +++    Dazu erklärt der sozialpolitische Sprecher der #AfD-Fraktion, @MdLFernandes : https://t.co/0fJ2tXKkJm #ltmv #mv https://t.co/M1iTDGoHDz",NOT,NONE,[0.00640109 0.00717862 0.0001719  ... 0.02241525 0.01841336 0.0457253 ],[0.00640109 0.00717862 0.0001719  ... 0.02241525 0.01841336 0.0457253 ]
31,hasoc_de_32,"Nein, uns Ostdeutschen fehlt nicht der Kontakt zu Ausländern, sondern den Westdeutschen fehlt eher das Selbstbewusstsein und der Mut Kriminellen einen Riegel vorzuschieben  https://t.co/6o5r5FoWwh?  #AfD #AfDimBundestag",NOT,NONE,[0.03014391 0.00694891 0.0071725  ... 0.02138151 0.02927142 0.03327173],[0.03014391 0.00694891 0.0071725  ... 0.02138151 0.02927142 0.03327173]
32,hasoc_de_33,"Wir können sie nicht zwingen, mit uns zu regieren. Wir können sie aber dazu zwingen, immer dreistere, dem Wählerwillen widersprechende Verliererkoalitionen bilden zu müssen. https://t.co/WeL5lvIme0",NOT,NONE,"[ 0.0032906  -0.00030169  0.020338   ...  0.05225266  0.01831027
  0.04492719]","[ 0.0032906  -0.00030169  0.020338   ...  0.05225266  0.01831027
  0.04492719]"
33,hasoc_de_34,Nach suboptimalem Fahrverhalten zweier Autofahrer in #Bahrenfeld und #Altenwerder wurden ihre hochwertigen Fahrzeuge und die Führerscheine sichergestellt.  🏎️❌➡️https://t.co/l3Sa0suAjE https://t.co/RdzsCB8wqk,NOT,NONE,[0.01146849 0.03499746 0.00112857 ... 0.03835982 0.0102856  0.0494289 ],[0.01146849 0.03499746 0.00112857 ... 0.03835982 0.0102856  0.0494289 ]
34,hasoc_de_35,"Geplünderte Mittelschicht: Die Freude bei einer Gehaltserhöhung währt nur kurz, denn der Staat kassiert Deutschlands Durchschnittsverdiener gnadenlos ab. Von 100 Euro mehr bleibt am Ende weniger als die Hälfte!  #AfD #Bundestag  ➡️ https://t.co/IvqEsfjQuu  https://t.co/a3DB1HiG0i",NOT,NONE,"[ 0.00482778  0.0014462  -0.00142043 ...  0.02332514  0.03131507
  0.03803837]","[ 0.00482778  0.0014462  -0.00142043 ...  0.02332514  0.03131507
  0.03803837]"
35,hasoc_de_36,"@mairpeda @Proteus93484191 @SPIEGELONLINE Nebenbei:... nicht nur um ihre Familien zu ernähren, sondern auch um diesen Staat zwangsweise zu finanzieren.",NOT,NONE,"[ 1.7053895e-02  8.1485258e-03  2.1230986e-03 ...  3.0030180e-02
 -1.8951074e-05  7.0095359e-04]","[ 1.7053895e-02  8.1485258e-03  2.1230986e-03 ...  3.0030180e-02
 -1.8951074e-05  7.0095359e-04]"
36,hasoc_de_37,"„Wurde in den letzten Jahren vonseiten der Politik auf Verteilen statt Schaffen von Wohlstand gesetzt, steht uns ein noch radikalerer Weg bevor.“   Klasse, fundierter und bedrückender Lagebericht von @thinkBTO   https://t.co/DmziXwAWIZ",NOT,NONE,[0.00869662 0.02336902 0.00064971 ... 0.02495079 0.02124353 0.02971726],[0.00869662 0.02336902 0.00064971 ... 0.02495079 0.02124353 0.02971726]
37,hasoc_de_38,"@Tiefseher @welt Wenn der Staat damit wenigstens für die Zukunft sorgen würde! Bildung, Innovation, Infrastruktur, .... stattdessen Sozialstaat für alle.",NOT,NONE,[0.00769961 0.00248362 0.00065421 ... 0.01180713 0.00788417 0.02083609],[0.00769961 0.00248362 0.00065421 ... 0.01180713 0.00788417 0.02083609]
38,hasoc_de_39,"💩👉'Cohn-Bendit ist kein altersverwirrter Spinner, sondern ein knallharter machtgeiler Kaderschmied der modernen Herrschsucht'. 👈💩  https://t.co/PzlYD9T2RP",HOF,OFFN,"[ 1.5893875e-02 -1.8893752e-05  1.5163075e-03 ...  3.8909212e-02
  3.0816866e-02  5.6338612e-02]","[ 1.5893875e-02 -1.8893752e-05  1.5163075e-03 ...  3.8909212e-02
  3.0816866e-02  5.6338612e-02]"
39,hasoc_de_40,"Kein Mythos, sondern Realität: In Deutschland muss ein Durchschnittsverdiener mehr als die Hälfte von jedem zusätzlich verdienten Euro an den Staat abführen https://t.co/83peE4I8P4 @welt https://t.co/whsl46ykdT",NOT,NONE,"[ 0.0089443  -0.00028693  0.00716295 ...  0.01560125  0.02926506
  0.02807657]","[ 0.0089443  -0.00028693  0.00716295 ...  0.01560125  0.02926506
  0.02807657]"
40,hasoc_de_41,@JohnStefan27 Bei der Veranstaltung sind auch alle 'öffentlichen Leute' herzlich willkommen :) *fl,NOT,NONE,"[ 6.1436016e-03 -9.3706636e-05 -1.1988420e-03 ...  1.5473784e-02
  1.1209428e-02  2.0625506e-02]","[ 6.1436016e-03 -9.3706636e-05 -1.1988420e-03 ...  1.5473784e-02
  1.1209428e-02  2.0625506e-02]"
41,hasoc_de_42,@PolizeiHamburg Ist dass nur für die Akademie oder auch für öffentliche Leute!?,NOT,NONE,"[ 8.8014957e-03  4.7161539e-05 -9.7735703e-04 ...  1.8698445e-02
  9.8390942e-03  2.3038497e-02]","[ 8.8014957e-03  4.7161539e-05 -9.7735703e-04 ...  1.8698445e-02
  9.8390942e-03  2.3038497e-02]"
42,hasoc_de_43,SEID AUCH MIT DABEI! #activecityday  Wir sind es schon &amp; 365 Tage im Jahr aktiv in unserer Stadt. #hamburgactivecity  Kommt zum Training für das Deutsche Sportabzeichen mit unserer Polizeiakademie  13. Juni 2019 | 8-15 Uhr | Leichtathletikhalle in #Winterhude  https://t.co/LO9xLoPk6z https://t.co/DaURbxecsW,NOT,NONE,[0.00338432 0.00519699 0.003144   ... 0.01674615 0.01274025 0.03644021],[0.00338432 0.00519699 0.003144   ... 0.01674615 0.01274025 0.03644021]
43,hasoc_de_44,"#Spendentour2019🚴‍♂️🚴‍♂️🚴‍♂️  Vier unserer Kollegen, mit streckenweise weiteren 'Mitfahrern', sind seit Freitag mit dem Fahrrad auf Deutschlandtour durch die Hauptstädte aller Bundesländer und sammeln Spenden. #helfernhelfen  Mehr Infos:  https://t.co/XOhuq6V2yH https://t.co/EPOfuDwWLi",NOT,NONE,"[ 3.5206731e-02  2.2469415e-07 -1.7622238e-03 ...  1.5397582e-02
  1.7616604e-02  2.3186097e-02]","[ 3.5206731e-02  2.2469415e-07 -1.7622238e-03 ...  1.5397582e-02
  1.7616604e-02  2.3186097e-02]"
44,hasoc_de_45,#Spendentour2019 #helfernhelfen🚴‍♂️🚴‍♂️🚴‍♂️  Am Sonntag haben unsere Radler nach 1000 Höhenmetern &amp; 120 km Weimar erreicht. Heute sind sie in Berlin und machen sich auf den Weg zur Kattenstiegsmühle um morgen Schwerin zu erreichen.  Mehr Infos: https://t.co/dEm1WOSI9N https://t.co/DyjdDFXsE5,NOT,NONE,"[ 4.0367514e-02 -1.4304537e-05  1.5857076e-02 ...  2.1159789e-02
  1.3706692e-02  2.1015700e-02]","[ 4.0367514e-02 -1.4304537e-05  1.5857076e-02 ...  2.1159789e-02
  1.3706692e-02  2.1015700e-02]"
45,hasoc_de_46,"Ich drücke @SebastianWippel jetzt erst recht die Daumen - dafür, dass er als erster #AfD-Politiker das Amt des Oberbürgermeisters bekleidet. Dass er dies im Sinne der Bürger von #Görlitz ausüben wird, daran besteht nicht der geringste Zweifel.  #Wippel  ➡️ https://t.co/shgWZHzHHM https://t.co/y0h9y6zee5",NOT,NONE,"[ 0.00669247  0.00718527 -0.00115694 ...  0.04623776  0.0247229
  0.04923436]","[ 0.00669247  0.00718527 -0.00115694 ...  0.04623776  0.0247229
  0.04923436]"
46,hasoc_de_47,"👍💪👍💪👍💪👍💪'Es reiche aus, wenn die Aktion grundsätzlich geeignet gewesen sei, jemanden einzuschüchtern, befand der BGH. Das Landgericht hat dies nun mit der Verurteilung bejaht. Einige Verteidiger kündigten bereits an, Revision einzulegen'.  https://t.co/NjTVrqfXgl",NOT,NONE,[0.00607588 0.00303569 0.00144628 ... 0.0120386  0.04145265 0.01890828],[0.00607588 0.00303569 0.00144628 ... 0.0120386  0.04145265 0.01890828]
47,hasoc_de_48,"Diese Art und Weise, Menschen zu verteufeln, die anders leben oder denken als man selbst... das macht mich echt wütend. Leute fahren mit dem Auto zur Arbeit, um ihre Familien zu ernähren. Jürgen #Trittin lässt sich fahren. https://t.co/X4IKCbbC7j via @SPIEGELONLINE",NOT,NONE,"[ 4.0951822e-02 -2.1831871e-05  1.1283058e-03 ...  2.3465592e-02
  1.8442973e-02  3.0483507e-02]","[ 4.0951822e-02 -2.1831871e-05  1.1283058e-03 ...  2.3465592e-02
  1.8442973e-02  3.0483507e-02]"
48,hasoc_de_49,"ISDN verbieten, Glasfaserkabel verbieten, Kabelfernsehen verbieten, Digitalisierung der Telefonie verbieten ...   Sogar Computer wollten die #GRÜNEN nicht. Ein Blick in frühere Parteiprogramme zeigt die  Tradition von @Die_Gruenen als #Verbotspartei   Quelle https://t.co/zZnJh933qD https://t.co/PwWQOJbLqT",NOT,NONE,"[ 6.4110220e-03 -2.6699536e-05 -1.7059118e-03 ...  3.8218234e-02
  2.5196703e-02  3.7628800e-02]","[ 6.4110220e-03 -2.6699536e-05 -1.7059118e-03 ...  3.8218234e-02
  2.5196703e-02  3.7628800e-02]"
49,hasoc_de_50,"Die #AfD warnt schon lange davor, dass die Schule von links-grünen Lehrern unter Missachtung des #Beutelsbacher_Konsens zur politischen Beeinflussung der Schüler missbraucht wird. Man fühlt sich in schlimmste #DDR-Zeiten zurückversetzt. #Neutrale_Schule https://t.co/pk4NIf4acJ",NOT,NONE,"[ 1.0483588e-02 -2.9936944e-05  1.9356146e-02 ...  2.2658415e-02
  2.6522672e-02  4.7757912e-02]","[ 1.0483588e-02 -2.9936944e-05  1.9356146e-02 ...  2.2658415e-02
  2.6522672e-02  4.7757912e-02]"
50,hasoc_de_51,Nichts ist in Deutschland mehr unmöglich👎 https://t.co/E4d0GMDxnd,NOT,NONE,"[ 2.0528124e-03 -3.4770721e-07  2.5276133e-04 ...  8.5245846e-03
  3.0753825e-02  2.9405104e-02]","[ 2.0528124e-03 -3.4770721e-07  2.5276133e-04 ...  8.5245846e-03
  3.0753825e-02  2.9405104e-02]"
51,hasoc_de_52,"#GörlitzistschlauGörlitzwähltblau 🇩🇪    Ein klares JA für @SebastianWippel     Bundesweit starten Migranten, Juden und Homosexuelle einen Gegenprotest. Zuvor hatte 'Hollywood' dazu aufgerufen den #AfD OB.-Kandidaten nicht zu wählen. https://t.co/pLiVzXpnl5",NOT,NONE,"[ 2.0121714e-02 -2.8461020e-05  3.4234952e-03 ...  4.7640346e-02
  2.1426428e-02  4.2545401e-02]","[ 2.0121714e-02 -2.8461020e-05  3.4234952e-03 ...  4.7640346e-02
  2.1426428e-02  4.2545401e-02]"
52,hasoc_de_53,'Ein Video von 75 illegalen Migranten auf einem Schiff in Zarzis sorgte für Aufregung. Die vorwiegend jungen Männer skandierten ihre Forderung nach Einreise in d EU. Die tunesische Regierung hat jetzt beschlossen: Die Männer müssen in ihre Heimat zurück.'    https://t.co/QYoUcvpJG6,NOT,NONE,"[ 1.09167965e-02 -7.76092293e-06  2.37209233e-03 ...  3.29256728e-02
  3.48235480e-02  1.76553391e-02]","[ 1.09167965e-02 -7.76092293e-06  2.37209233e-03 ...  3.29256728e-02
  3.48235480e-02  1.76553391e-02]"
53,hasoc_de_54,"#Geldern: Zwei mit osteuropäischem Akzent sprechende Jugendliche überfallen morgens zwei #Geschwisterkinder auf dem Schulweg und fordern Geld, treten dem 12-Jährigen in den Bauch, schlagen die Köpfe der Brüder zusammen, die kein Geld dabei haben  https://t.co/IhhfaZHMX2",NOT,NONE,"[1.1396992e-02 1.4702771e-05 2.3784211e-03 ... 6.8797562e-03 1.0207551e-02
 2.2781188e-02]","[1.1396992e-02 1.4702771e-05 2.3784211e-03 ... 6.8797562e-03 1.0207551e-02
 2.2781188e-02]"
54,hasoc_de_55,"#Offenburg 25 Jähriger Somalier verprügelt 75 Jährigen Senior. Tritt solange auf den Kopf des am Boden liegenden Seniors ein, bis dieser bewusstlos ist und mit schweren Kopfverletzungen in die Klinik kommt. https://t.co/o2FwcnELug",NOT,NONE,"[1.7943975e-02 3.0301095e-05 1.4137040e-02 ... 3.8250964e-02 1.5113625e-02
 2.2142500e-02]","[1.7943975e-02 3.0301095e-05 1.4137040e-02 ... 3.8250964e-02 1.5113625e-02
 2.2142500e-02]"
55,hasoc_de_56,"Bürgermeister-Wahlen in #Italien: Deutsche Medien verschweigen, dass massenhaft sozialistische Hochburgen an #Salvini's Lega fallen.  (Grüne spielen dort übrigens keine Rolle.)  ;)  https://t.co/Vyurx73K8D",NOT,NONE,"[ 4.4902634e-02 -2.6471111e-05  4.9534203e-03 ...  4.1677762e-02
  1.4790040e-02  4.9898107e-02]","[ 4.4902634e-02 -2.6471111e-05  4.9534203e-03 ...  4.1677762e-02
  1.4790040e-02  4.9898107e-02]"
